"['S&P 500 Index', 'NASDAQ Composite Index']","['2,519.36', '6,495.96']",2017-09-30 23:47:21.667897
"['S&P 500 Index', 'NASDAQ Composite Index']","['2,519.36', '6,495.96']",2017-09-30 23:47:21.667961
